iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0028,8.0,5.0,0.0012,8.0,5.0,0.001,8.0,5.0
2.0,0.0035,11.0,6.0,0.0019,11.0,7.0,0.0017,11.0,6.0
3.0,0.0028,9.0,5.0,0.0017,9.0,6.0,0.0015,9.0,5.0
4.0,0.0028,8.0,6.0,0.0013,8.0,6.0,0.0013,8.0,6.0
5.0,0.0024,8.0,5.0,0.0014,8.0,6.0,0.0011,8.0,5.0
6.0,0.0019,6.0,4.0,0.0008,6.0,4.0,0.0007,6.0,4.0
7.0,0.0019,6.0,4.0,0.0009,6.0,4.0,0.0007,6.0,4.0
8.0,0.0025,7.0,7.0,0.0011,7.0,7.0,0.0009,7.0,7.0
9.0,0.0026,9.0,7.0,0.0015,9.0,7.0,0.0012,9.0,7.0
10.0,0.0014,5.0,4.0,0.0008,5.0,4.0,0.0005,5.0,4.0
11.0,0.0018,6.0,4.0,0.0011,6.0,4.0,0.0008,6.0,4.0
12.0,0.0023,8.0,6.0,0.0012,8.0,6.0,0.001,8.0,6.0
13.0,0.0019,5.0,5.0,0.0007,5.0,5.0,0.0005,5.0,5.0
14.0,0.0018,6.0,6.0,0.0008,6.0,6.0,0.0007,6.0,6.0
15.0,0.0015,5.0,4.0,0.0006,5.0,4.0,0.0004,5.0,4.0
16.0,0.003,10.0,6.0,0.0018,10.0,7.0,0.0015,10.0,6.0
17.0,0.0019,6.0,4.0,0.001,6.0,4.0,0.0008,6.0,4.0
18.0,0.002,5.0,5.0,0.0012,5.0,5.0,0.0012,5.0,5.0
19.0,0.002,6.0,6.0,0.0008,6.0,6.0,0.0006,6.0,6.0
20.0,0.0019,6.0,5.0,0.0009,6.0,5.0,0.0009,6.0,5.0
21.0,0.003,10.0,6.0,0.0017,10.0,7.0,0.0015,10.0,6.0
22.0,0.0036,12.0,7.0,0.0022,12.0,8.0,0.0018,12.0,7.0
23.0,0.002,6.0,6.0,0.001,6.0,6.0,0.0006,6.0,6.0
24.0,0.0024,8.0,6.0,0.0013,8.0,6.0,0.0012,8.0,6.0
25.0,0.0024,8.0,5.0,0.0014,8.0,5.0,0.0011,8.0,5.0
26.0,0.0018,6.0,4.0,0.0008,6.0,4.0,0.0007,6.0,4.0
27.0,0.0028,9.0,6.0,0.0014,9.0,6.0,0.0012,9.0,6.0
28.0,0.002,6.0,4.0,0.0009,6.0,4.0,0.0008,6.0,4.0
29.0,0.0028,9.0,5.0,0.0015,9.0,6.0,0.0012,9.0,5.0
30.0,0.0024,5.0,5.0,0.0011,5.0,5.0,0.0009,5.0,5.0
31.0,0.002,6.0,4.0,0.0011,6.0,5.0,0.0011,6.0,4.0
32.0,0.003,6.0,5.0,0.0011,6.0,5.0,0.0014,6.0,5.0
33.0,0.003,6.0,5.0,0.0014,6.0,5.0,0.0015,6.0,5.0
